我  在        #  热  搜  疯狂  打  call  #        中为  胡  一天  啊  贡献  114call  值  。     助力  胡  一天  啊  获得  热  搜  称号  ：  胡  一天  胡  老师  。  该  称号  距离  生效  还  差  19358990call  值  ，  快来  与  我  并肩作战  。        网页  链接        ​  ​  ​  ​  
我  在        #  热  搜  疯狂  打  call  #        中为  胡  一天  啊  贡献  83call  值  。     助力  胡  一天  啊  获得  热  搜  称号  ：  新晋  男神  。  该  称号  距离  生效  还  差  17981689call  值  ，  快来  与  我  并肩作战  。        网页  链接        ​  ​  ​  ​  
#  宁泽涛  #        #  热  搜  疯狂  打  call  #           部分  答案  如下  ，  阿涛  已经  被  挤  下  榜单  了  ，  大家  赢  call  值为  他  打  call  吧  [  求  关注  ]     ​  ​  ​  ​  
为了  让  杨洋  icon  获得  热  搜  称号  ：  演员  杨洋  ，  我  在        #  热  搜  疯狂  打  call  #        中为  杨洋  icon  倾情  投入  600     call  值  ！  离  成功  还  差  18326785call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
#  朱婷  #        关于  那个     #  热  搜  疯狂  打  call  #     答题  赢  call  值  的  测试  ，  早上  在  地铁  好奇  玩  了  一下  ，  有些  问题  奇葩  到  丧心病狂  [  二哈  ]  ，  我  第一次  只得  了  8  分  [  允悲  ]  ，  最后  一次  玩到  106  分  ，  刚才  特意  搜索  了  一下  把  答案  给  大家  ，  请  叫  我  红领巾  ，  不用谢  [  可爱  ]     ​  ​  ​  ​        网页  链接        ​  ​  ​  ​  
为了  让  努力  努力  再  努力  x  获得  热  搜  称号  ：  音乐  人张  艺兴  ，  我  在        #  热  搜  疯狂  打  call  #        中为  努力  努力  再  努力  x  倾情  投入  104     call  值  ！  离  成功  还  差  10961339call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  红花  会  PG  _  ONE  获得  热  搜  称号  ：  最后  的  大  魔王  ，  我  在        #  热  搜  疯狂  打  call  #        中为  红花  会  PG  _  ONE  倾情  投入  440     call  值  ！  离  成功  还  差  14233077call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  M  鹿  M  获得  热  搜  称号  ：  正  能量  新  青年  ，  我  在        #  热  搜  疯狂  打  call  #        中为  M  鹿  M  倾情  投入  572     call  值  ！  离  成功  还  差  13630392call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  Dear  -  迪丽  热巴  获得  热  搜  称号  ：  演员  迪丽  热巴  ，  我  在        #  热  搜  疯狂  打  call  #        中为  Dear  -  迪丽  热巴  倾情  投入  124     call  值  ！  离  成功  还  差  18252385call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  宋茜  获得  热  搜  称号  ：  百变  女王  ，  我  在        #  热  搜  疯狂  打  call  #        中为  宋茜  倾情  投入  131     call  值  ！  离  成功  还  差  18514068call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接           郑州  ·  金水路        ​  ​  ​  ​  
为了  让  1028  _  Dong  获得  热  搜  称号  ：  温州  大佬  ，  我  在        #  热  搜  疯狂  打  call  #        中为  1028  _  Dong  倾情  投入  500     call  值  ！  离  成功  还  差  19939964call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  迪玛希  Dimash  获得  热  搜  称号  ：  异域  奇韵  ，  我  在        #  热  搜  疯狂  打  call  #        中为  迪玛希  Dimash  倾情  投入  60     call  值  ！  离  成功  还  差  19600904call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接           北京  ·  北京  语言  大学        ​  ​  ​  ​  
为了  让  华晨  宇  yu  获得  热  搜  称号  ：  唱作  鬼才  ，  我  在        #  热  搜  疯狂  打  call  #        中为  华晨  宇  yu  倾情  投入  486     call  值  ！  离  成功  还  差  15926906call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  王嘉尔  获得  热  搜  称号  ：  音乐  人  王嘉尔  ，  我  在        #  热  搜  疯狂  打  call  #        中为  王嘉尔  倾情  投入  130     call  值  ！  离  成功  还  差  19021597call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  王俊凯  获得  热  搜  称号  ：  男朋友  啊  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  王俊凯  倾情  投入  118     call  值  ！  离  成功  还  差  16544125call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  努力  努力  再  努力  x  获得  热  搜  称号  ：  音乐  人张  艺兴  ，  我  在        #  热  搜  疯狂  打  call  #        中为  努力  努力  再  努力  x  倾情  投入  100     call  值  ！  离  成功  还  差  10961693call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  王俊凯  获得  热  搜  称号  ：  顶级  流量  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  王俊凯  倾情  投入  143     call  值  ！  离  成功  还  差  19777084call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  朱一龙  获得  热  搜  称号  ：  龙哥  的  小笼包  ，  我  在        #  热  搜  疯狂  打  call  #        中为  朱一龙  倾情  投入  123     call  值  ！  离  成功  还  差  19998456call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  胡  一天  啊  获得  热  搜  称号  ：  新晋  男神  ，  我  在        #  热  搜  疯狂  打  call  #        中为  胡  一天  啊  倾情  投入  100     call  值  ！  离  成功  还  差  5487513call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  薛之谦  获得  热  搜  称号  ：  原创  歌手  ，  我  在        #  热  搜  疯狂  打  call  #        中为  薛之谦  倾情  投入  10     call  值  ！  离  成功  还  差  17243702call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接           宁波  ·  宁海  大厦        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  600     call  值  ！  离  成功  还  差  4285660call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  田喜  碧  Hebe  获得  热  搜  称号  ：  养生  天后  ，  我  在        #  热  搜  疯狂  打  call  #        中为  田喜  碧  Hebe  倾情  投入  334     call  值  ！  离  成功  还  差  19514256call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  William  威廉  陈伟霆  获得  热  搜  称号  ：  百变  男神  ，  我  在        #  热  搜  疯狂  打  call  #        中为  William  威廉  陈伟霆  倾情  投入  600     call  值  ！  离  成功  还  差  16910959call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  华晨  宇  yu  获得  热  搜  称号  ：  唱作  鬼才  ，  我  在        #  热  搜  疯狂  打  call  #        中为  华晨  宇  yu  倾情  投入  200     call  值  ！  离  成功  还  差  15926696call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  胡歌  获得  热  搜  称号  ：  古月  哥欠  ，  我  在        #  热  搜  疯狂  打  call  #        中为  胡歌  倾情  投入  10     call  值  ！  离  成功  还  差  19528148call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  刘亦菲  获得  热  搜  称号  ：  优秀  演员  ，  我  在        #  热  搜  疯狂  打  call  #        中为  刘亦菲  倾情  投入  33     call  值  ！  离  成功  还  差  19572474call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  王源  获得  热  搜  称号  ：  精致  男孩  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  王源  倾情  投入  10     call  值  ！  离  成功  还  差  17832034call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接           成都  ·  苏坡  街区        ​  ​  ​  ​  
为了  让  刘诗雯  Sunny  获得  热  搜  称号  ：  小可爱  刘诗雯  ，  我  在        #  热  搜  疯狂  打  call  #        中为  刘诗雯  Sunny  倾情  投入  83     call  值  ！  离  成功  还  差  19927873call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  20     call  值  ！  离  成功  还  差  4284791call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  李易峰  获得  热  搜  称号  ：  国民  男神  ，  我  在        #  热  搜  疯狂  打  call  #        中为  李易峰  倾情  投入  100     call  值  ！  离  成功  还  差  9973848call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  杨洋  icon  获得  热  搜  称号  ：  正  能量  领头羊  ，  我  在        #  热  搜  疯狂  打  call  #        中为  杨洋  icon  倾情  投入  50     call  值  ！  离  成功  还  差  19757970call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  廖俊涛  是  铁头  获得  热  搜  称号  ：  铁头  帮主  ，  我  在        #  热  搜  疯狂  打  call  #        中为  廖俊涛  是  铁头  倾情  投入  10     call  值  ！  离  成功  还  差  19965057call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接           日照  ·  大学城        ​  ​  ​  ​  
为了  让  Mr  _  凡  先生  获得  热  搜  称号  ：  嘻哈  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  Mr  _  凡  先生  倾情  投入  584     call  值  ！  离  成功  还  差  16339534call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  努力  努力  再  努力  x  获得  热  搜  称号  ：  音乐  人张  艺兴  ，  我  在        #  热  搜  疯狂  打  call  #        中为  努力  努力  再  努力  x  倾情  投入  138     call  值  ！  离  成功  还  差  10960126call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  王俊凯  获得  热  搜  称号  ：  顶级  流量  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  王俊凯  倾情  投入  10     call  值  ！  离  成功  还  差  19776734call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  600     call  值  ！  离  成功  还  差  4284811call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  宋茜  获得  热  搜  称号  ：  全能  女神  ，  我  在        #  热  搜  疯狂  打  call  #        中为  宋茜  倾情  投入  110     call  值  ！  离  成功  还  差  19979674call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  Dear  -  迪丽  热巴  获得  热  搜  称号  ：  演员  迪丽  热巴  ，  我  在        #  热  搜  疯狂  打  call  #        中为  Dear  -  迪丽  热巴  倾情  投入  600     call  值  ！  离  成功  还  差  18251192call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  王俊凯  获得  热  搜  称号  ：  男朋友  啊  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  王俊凯  倾情  投入  285     call  值  ！  离  成功  还  差  16543740call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接           南京  ·  秣陵  街区        ​  ​  ​  ​  
为了  让  努力  努力  再  努力  x  获得  热  搜  称号  ：  音乐  人张  艺兴  ，  我  在        #  热  搜  疯狂  打  call  #        中为  努力  努力  再  努力  x  倾情  投入  100     call  值  ！  离  成功  还  差  10961031call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  Dear  -  迪丽  热巴  获得  热  搜  称号  ：  演员  迪丽  热巴  ，  我  在        #  热  搜  疯狂  打  call  #        中为  Dear  -  迪丽  热巴  倾情  投入  600     call  值  ！  离  成功  还  差  18250592call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  1309     call  值  ！  离  成功  还  差  4299064call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  10     call  值  ！  离  成功  还  差  4284220call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接           南充  ·  龙门镇        ​  ​  ​  ​  
为了  让  薛之谦  获得  热  搜  称号  ：  原创  歌手  ，  我  在        #  热  搜  疯狂  打  call  #        中为  薛之谦  倾情  投入  10     call  值  ！  离  成功  还  差  17243552call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  23     call  值  ！  离  成功  还  差  4284197call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  王源  获得  热  搜  称号  ：  原创  歌手  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  王源  倾情  投入  127     call  值  ！  离  成功  还  差  16102624call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  M  鹿  M  获得  热  搜  称号  ：  正  能量  新  青年  ，  我  在        #  热  搜  疯狂  打  call  #        中为  M  鹿  M  倾情  投入  110     call  值  ！  离  成功  还  差  13629724call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让羅志祥  获得  热  搜  称号  ：  全能  天王  ，  我  在        #  热  搜  疯狂  打  call  #        中为羅志祥  倾情  投入  10     call  值  ！  离  成功  还  差  19877923call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  angelababy  获得  热  搜  称号  ：  暖  心北  鼻  ，  我  在        #  热  搜  疯狂  打  call  #        中为  angelababy  倾情  投入  440     call  值  ！  离  成功  还  差  19885449call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  林俊杰  获得  热  搜  称号  ：  唱作  天王  ，  我  在        #  热  搜  疯狂  打  call  #        中为  林俊杰  倾情  投入  100     call  值  ！  离  成功  还  差  19728372call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  王嘉尔  获得  热  搜  称号  ：  音乐  人  王嘉尔  ，  我  在        #  热  搜  疯狂  打  call  #        中为  王嘉尔  倾情  投入  110     call  值  ！  离  成功  还  差  19021270call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  华晨  宇  yu  获得  热  搜  称号  ：  唱作  鬼才  ，  我  在        #  热  搜  疯狂  打  call  #        中为  华晨  宇  yu  倾情  投入  120     call  值  ！  离  成功  还  差  15926448call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  李易峰  获得  热  搜  称号  ：  国民  男神  ，  我  在        #  热  搜  疯狂  打  call  #        中为  李易峰  倾情  投入  133     call  值  ！  离  成功  还  差  10057803call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  李易峰  获得  热  搜  称号  ：  国民  男神  ，  我  在        #  热  搜  疯狂  打  call  #        中为  李易峰  倾情  投入  500     call  值  ！  离  成功  还  差  9973073call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  Sy  __  Jessica  获得  热  搜  称号  ：  总裁  大人  ，  我  在        #  热  搜  疯狂  打  call  #        中为  Sy  __  Jessica  倾情  投入  100     call  值  ！  离  成功  还  差  19713412call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  Mr  _  凡  先生  获得  热  搜  称号  ：  嘻哈  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  Mr  _  凡  先生  倾情  投入  120     call  值  ！  离  成功  还  差  16339119call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  100     call  值  ！  离  成功  还  差  4281717call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  William  威廉  陈伟霆  获得  热  搜  称号  ：  百变  男神  ，  我  在        #  热  搜  疯狂  打  call  #        中为  William  威廉  陈伟霆  倾情  投入  100     call  值  ！  离  成功  还  差  16909844call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  142     call  值  ！  离  成功  还  差  4280682call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  鬼鬼  吴映洁  获得  热  搜  称号  ：  搜证  王鬼  侦探  ，  我  在        #  热  搜  疯狂  打  call  #        中为  鬼鬼  吴映洁  倾情  投入  110     call  值  ！  离  成功  还  差  19934811call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  魏晨  获得  热  搜  称号  ：  初  心不变  ，  我  在        #  热  搜  疯狂  打  call  #        中为  魏晨  倾情  投入  138     call  值  ！  离  成功  还  差  19706313call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  TFBOYS  -  易  烊  千玺  获得  热  搜  称号  ：  舞台  王者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  TFBOYS  -  易  烊  千玺  倾情  投入  100     call  值  ！  离  成功  还  差  4281524call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  红花  会  PG  _  ONE  获得  热  搜  称号  ：  最后  的  大  魔王  ，  我  在        #  热  搜  疯狂  打  call  #        中为  红花  会  PG  _  ONE  倾情  投入  600     call  值  ！  离  成功  还  差  14230980call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  M  鹿  M  获得  热  搜  称号  ：  正  能量  新  青年  ，  我  在        #  热  搜  疯狂  打  call  #        中为  M  鹿  M  倾情  投入  775     call  值  ！  离  成功  还  差  13632389call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  努力  努力  再  努力  x  获得  热  搜  称号  ：  音乐  人张  艺兴  ，  我  在        #  热  搜  疯狂  打  call  #        中为  努力  努力  再  努力  x  倾情  投入  10     call  值  ！  离  成功  还  差  10957439call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  吴磊  LEO  获得  热  搜  称号  ：  三石  弟弟  ，  我  在        #  热  搜  疯狂  打  call  #        中为  吴磊  LEO  倾情  投入  120     call  值  ！  离  成功  还  差  19485440call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  Lao  乾媽  获得  热  搜  称号  ：  颤音  男神  ，  我  在        #  热  搜  疯狂  打  call  #        中为  Lao  乾媽  倾情  投入  161     call  值  ！  离  成功  还  差  19952565call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
为了  让  靳东  获得  热  搜  称号  ：  戏剧  行者  ，  我  在        #  热  搜  疯狂  打  call  #        中为  靳东  倾情  投入  10     call  值  ！  离  成功  还  差  19617891call  值  ，  快来  与  我  并肩作战  ！     &  gt  ;  &  gt  ;  &  gt  ;        网页  链接        ​  ​  ​  ​  
